nohup: ignoring input
INFO:     Started server process [22970]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
🚀 Starting InvestWise Pro ROI Calculator...
INFO:     127.0.0.1:49982 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:48046 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:48060 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:48068 - "GET /api/scenarios HTTP/1.1" 200 OK
INFO:     127.0.0.1:48072 - "GET /api/tax/countries HTTP/1.1" 200 OK
INFO:     127.0.0.1:48080 - "POST /api/roi/calculate HTTP/1.1" 200 OK
INFO:     127.0.0.1:48084 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:45310 - "OPTIONS /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:45312 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:37616 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:37618 - "POST /api/roi/calculate HTTP/1.1" 200 OK
INFO:     127.0.0.1:50884 - "GET /api/scenarios HTTP/1.1" 200 OK
INFO:     127.0.0.1:50892 - "GET /api/tax/countries HTTP/1.1" 200 OK
